Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media;;Equipo;Jugador;Posición;Puntos;Precio;;;
Leganés;Pauwels;Delantero;3;1.470.000;1;1;0;3.00;;;;;;;;;
Real Sociedad B;Peru Rodríguez;Defensa;10;1.450.000;2;1;1;5.00;;;;;;;;;
Zaragoza;Pau Sans;Delantero;4;1.450.000;2;1;1;2.00;;;;;;;;;
Córdoba;Dalisson;Delantero;0;1.450.000;0;0;0;0.00;;;;;;;;;
FC Andorra;Villahermosa;Centrocampista;10;1.440.000;2;0;2;5.00;;;;;;;;;
Mirandes;Ismael Barea;Centrocampista;9;1.440.000;2;1;1;4.50;;;;;;;;;
Huesca;Julio Alonso;Defensa;9;1.440.000;2;1;1;4.50;;;;;;;;;
Zaragoza;Dani Gómez;Delantero;6;1.440.000;2;1;1;3.00;;;;;;;;;
Leganés;Álex Millán;Delantero;2;1.420.000;2;1;1;1.00;;;;;;;;;
Cultural Leonesa;Luis Chacón;Delantero;4;1.410.000;2;1;1;2.00;;;;;;;;;
FC Andorra;Áron Yaakobishvili;Portero;12;1.400.000;2;0;2;6.00;;;;;;;;;
Almería;Fernando Martinez;Portero;0;1.390.000;0;0;0;0.00;;;;;;;;;
Cádiz;David Gil;Portero;0;1.380.000;0;0;0;0.00;;;;;;;;;
Ceuta;Matos;Defensa;5;1.370.000;1;1;0;5.00;;;;;;;;;
Deportivo;José Ángel Jurado;Centrocampista;0;1.370.000;0;0;0;0.00;;;;;;;;;
Córdoba;Franck Fomeyem;Defensa;6;1.360.000;2;1;1;3.00;;;;;;;;;
Huesca;Samuel Ntamack;Delantero;5;1.360.000;2;1;1;2.50;;;;;;;;;
Granada;Manu Lama;Defensa;-4;1.350.000;1;1;0;-4.00;;;;;;;;;
Albacete;Raúl Lizoain;Portero;0;1.340.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Alberto Dadie;Delantero;12;1.330.000;2;1;1;6.00;;;;;;;;;
Huesca;Piña;Defensa;10;1.330.000;2;1;1;5.00;;;;;;;;;
Málaga;Dani Sánchez;Defensa;4;1.330.000;1;1;0;4.00;;;;;;;;;
Albacete;Jefté Betancor;Delantero;4;1.330.000;2;1;1;2.00;;;;;;;;;
Racing;Álvaro Mantilla;Defensa;1;1.290.000;2;1;1;0.50;;;;;;;;;
Las Palmas;José Antonio Caro;Portero;0;1.290.000;0;0;0;0.00;;;;;;;;;
Las Palmas;Iván Gil;Centrocampista;4;1.280.000;1;1;0;4.00;;;;;;;;;
Eibar;Adu Ares;Delantero;4;1.280.000;1;1;0;4.00;;;;;;;;;
FC Andorra;Marc Doménech;Centrocampista;11;1.270.000;2;0;2;5.50;;;;;;;;;
Deportivo;Germán Parreño;Portero;8;1.270.000;2;1;1;4.00;;;;;;;;;
Burgos CF;Kévin Appin;Centrocampista;6;1.270.000;2;1;1;3.00;;;;;;;;;
Eibar;Aritz Arambarri;Defensa;5;1.270.000;2;1;1;2.50;;;;;;;;;
FC Andorra;Thomas Carrique;Defensa;6;1.260.000;2;0;2;3.00;;;;;;;;;
Ceuta;Carlos Hernández;Defensa;11;1.240.000;2;1;1;5.50;;;;;;;;;
Mirandes;Marino Illescas;Centrocampista;10;1.240.000;2;1;1;5.00;;;;;;;;;
Almería;Marcos Luna;Defensa;4;1.230.000;2;1;1;2.00;;;;;;;;;
Granada;Baïla Diallo;Defensa;3;1.230.000;1;1;0;3.00;;;;;;;;;
Zaragoza;Iván Calero;Defensa;5;1.220.000;2;1;1;2.50;;;;;;;;;
Albacete;Dani Escriche;Delantero;12;1.210.000;2;1;1;6.00;;;;;;;;;
Las Palmas;Mata;Delantero;0;1.210.000;0;0;0;0.00;;;;;;;;;
Burgos CF;Mateo Mejía;Delantero;10;1.200.000;2;1;1;5.00;;;;;;;;;
Eibar;Javi Martínez;Centrocampista;7;1.200.000;2;1;1;3.50;;;;;;;;;
Almería;Luís Maximiano;Portero;0;1.190.000;0;0;0;0.00;;;;;;;;;
Huesca;Liberto;Centrocampista;9;1.180.000;2;1;1;4.50;;;;;;;;;
FC Andorra;Manuel Nieto;Delantero;7;1.180.000;2;0;2;3.50;;;;;;;;;
Córdoba;Alberto del Moral;Centrocampista;2;1.180.000;1;1;0;2.00;;;;;;;;;
Huesca;Daniel Ojeda;Delantero;8;1.170.000;1;1;0;8.00;;;;;;;;;
Zaragoza;Toni Moya;Centrocampista;2;1.170.000;1;1;0;2.00;;;;;;;;;
Real Valladolid;Nikitscher;Centrocampista;3;1.150.000;1;1;0;3.00;;;;;;;;;
Leganés;Ignasi Miquel;Defensa;2;1.150.000;1;0;1;2.00;;;;;;;;;
Sporting;Pablo García;Defensa;2;1.150.000;1;1;0;2.00;;;;;;;;;
Real Sociedad B;Mariezkurrena;Delantero;2;1.150.000;2;1;1;1.00;;;;;;;;;
FC Andorra;Min-su;Delantero;10;1.140.000;2;0;2;5.00;;;;;;;;;
Albacete;Javi Villar;Centrocampista;9;1.140.000;2;1;1;4.50;;;;;;;;;
Córdoba;Iker Álvarez;Portero;0;1.140.000;0;0;0;0.00;;;;;;;;;
Almería;Lázaro;Delantero;2;1.120.000;2;1;1;1.00;;;;;;;;;
Almería;Ibrahima Koné;Delantero;0;1.120.000;0;0;0;0.00;;;;;;;;;
Cádiz;Víctor Aznar;Portero;9;1.110.000;2;1;1;4.50;;;;;;;;;
Ceuta;Cristian Rodríguez;Centrocampista;5;1.110.000;2;1;1;2.50;;;;;;;;;
Albacete;Higinio;Delantero;0;1.110.000;0;0;0;0.00;;;;;;;;;
FC Andorra;Jastin Garcia;Delantero;10;1.100.000;2;0;2;5.00;;;;;;;;;
Cultural Leonesa;Juan Larios;Defensa;6;1.100.000;2;1;1;3.00;;;;;;;;;
Huesca;Daniel Luna;Centrocampista;0;1.100.000;0;0;0;0.00;;;;;;;;;
Córdoba;Xavi Sintes;Defensa;0;1.090.000;0;0;0;0.00;;;;;;;;;
Sporting;Eric Curbelo;Defensa;5;1.070.000;2;1;1;2.50;;;;;;;;;
Real Sociedad B;Iñaki Rupérez;Defensa;0;1.070.000;0;0;0;0.00;;;;;;;;;
Sporting;Justin Smith;Centrocampista;3;1.060.000;1;0;1;3.00;;;;;;;;;
Huesca;Toni Abad;Centrocampista;7;1.050.000;2;1;1;3.50;;;;;;;;;
Real Sociedad B;Alex Lebarbier;Centrocampista;5;1.050.000;2;1;1;2.50;;;;;;;;;
CD Castellon;Diego Barri;Defensa;5;1.040.000;2;1;1;2.50;;;;;;;;;
Burgos CF;Sergio Gonzalez;Defensa;0;1.040.000;0;0;0;0.00;;;;;;;;;
Zaragoza;Pablo Insua;Defensa;-1;1.030.000;1;1;0;-1.00;;;;;;;;;
Las Palmas;Enrique Clemente;Defensa;19;1.020.000;2;1;1;9.50;;;;;;;;;
Zaragoza;Adrián Rodríguez;Portero;8;1.020.000;2;1;1;4.00;;;;;;;;;
Albacete;Antonio Pacheco;Centrocampista;2;1.020.000;1;0;1;2.00;;;;;;;;;
Zaragoza;Radovanovic;Defensa;0;1.020.000;2;1;1;0.00;;;;;;;;;
Leganés;Naim García;Delantero;10;1.010.000;2;1;1;5.00;;;;;;;;;
Cultural Leonesa;Manu Justo;Delantero;5;1.010.000;2;1;1;2.50;;;;;;;;;
Mirandes;Aarón Martin;Centrocampista;2;1.010.000;2;1;1;1.00;;;;;;;;;
Cultural Leonesa;Rafael Tresaco;Delantero;7;980.000;2;1;1;3.50;;;;;;;;;
Racing;Íñigo Sainz-Maza;Centrocampista;4;970.000;2;1;1;2.00;;;;;;;;;
Córdoba;Dani Requena;Centrocampista;3;940.000;1;1;0;3.00;;;;;;;;;
Málaga;Jauregi;Delantero;0;940.000;0;0;0;0.00;;;;;;;;;
CD Castellon;Salva Ruiz;Defensa;6;920.000;2;1;1;3.00;;;;;;;;;
CD Castellon;Brian Cipenga;Delantero;5;920.000;1;0;1;5.00;;;;;;;;;
CD Castellon;Kenneth Mamah;Delantero;2;920.000;1;1;0;2.00;;;;;;;;;
FC Andorra;Marc Bombardó;Defensa;7;900.000;2;0;2;3.50;;;;;;;;;
Ceuta;Redruello;Defensa;-1;900.000;1;0;1;-1.00;;;;;;;;;
Cultural Leonesa;Bicho;Centrocampista;5;890.000;2;1;1;2.50;;;;;;;;;
Mirandes;Toni Tamarit;Delantero;8;880.000;2;1;1;4.00;;;;;;;;;
CD Castellon;Agustín Sienra;Defensa;2;880.000;2;1;1;1.00;;;;;;;;;
Málaga;Víctor García;Defensa;9;860.000;2;2;0;4.50;;;;;;;;;
CD Castellon;Marc-Olivier Doué;Centrocampista;3;860.000;1;1;0;3.00;;;;;;;;;
Zaragoza;Juan Sebastián;Defensa;4;850.000;2;1;1;2.00;;;;;;;;;
Eibar;Jair;Defensa;0;840.000;0;0;0;0.00;;;;;;;;;
Córdoba;Obolskiy;Delantero;3;820.000;2;1;1;1.50;;;;;;;;;
Albacete;Victor Valverde;Delantero;5;810.000;2;1;1;2.50;;;;;;;;;
Mirandes;Martín Pascual;Defensa;3;800.000;1;1;0;3.00;;;;;;;;;
CD Castellon;Pablo Santiago;Delantero;3;800.000;1;1;0;3.00;;;;;;;;;
Cádiz;Rubén Sobrino;Delantero;0;800.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Mikel Rodriguez;Centrocampista;5;780.000;2;1;1;2.50;;;;;;;;;
Albacete;Jon García;Defensa;3;780.000;2;1;1;1.50;;;;;;;;;
Ceuta;Andy Escudero;Centrocampista;3;780.000;1;0;1;3.00;;;;;;;;;
Zaragoza;Keidi Bare;Centrocampista;0;780.000;0;0;0;0.00;;;;;;;;;
Mirandes;Palomares;Portero;1;770.000;1;0;1;1.00;;;;;;;;;
Cultural Leonesa;Yayo;Centrocampista;0;770.000;0;0;0;0.00;;;;;;;;;
Málaga;Einar Galilea;Defensa;0;770.000;0;0;0;0.00;;;;;;;;;
Ceuta;Pedro López;Portero;7;750.000;1;1;0;7.00;;;;;;;;;
Córdoba;Juan María Alcedo;Defensa;2;750.000;1;0;1;2.00;;;;;;;;;
FC Andorra;Yaakobishvili;Defensa;0;740.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Tomy Carbonell;Centrocampista;7;730.000;2;1;1;3.50;;;;;;;;;
Málaga;Rafa Rodríguez;Centrocampista;13;710.000;2;2;0;6.50;;;;;;;;;
Las Palmas;Marc Cardona;Delantero;5;710.000;2;1;1;2.50;;;;;;;;;
Real Valladolid;Jaouab;Defensa;0;710.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Jon Balda;Defensa;0;710.000;0;0;0;0.00;;;;;;;;;
Mirandes;Sergio Postigo;Defensa;0;700.000;0;0;0;0.00;;;;;;;;;
Ceuta;Guillermo Vallejo;Portero;4;690.000;1;0;1;4.00;;;;;;;;;
Huesca;Jesús Álvarez;Centrocampista;9;680.000;2;1;1;4.50;;;;;;;;;
Ceuta;Kuki Zalazar;Delantero;5;680.000;2;1;1;2.50;;;;;;;;;
Eibar;Hodei Arrillaga;Defensa;3;680.000;1;0;1;3.00;;;;;;;;;
FC Andorra;Álex Petxa;Defensa;2;680.000;1;0;1;2.00;;;;;;;;;
CD Castellon;Michal Willmann;Defensa;0;680.000;0;0;0;0.00;;;;;;;;;
Ceuta;Almenara;Defensa;6;670.000;2;1;1;3.00;;;;;;;;;
Málaga;Dani Lorenzo;Centrocampista;5;670.000;2;2;0;2.50;;;;;;;;;
Albacete;Alejandro Meléndez;Centrocampista;4;660.000;2;1;1;2.00;;;;;;;;;
Las Palmas;Pejiño;Delantero;2;660.000;1;1;0;2.00;;;;;;;;;
FC Andorra;Théo Le Normand;Centrocampista;4;650.000;2;0;2;2.00;;;;;;;;;
Granada;Weissman;Delantero;2;650.000;1;1;0;2.00;;;;;;;;;
Ceuta;Youness Lachhab;Centrocampista;7;640.000;2;1;1;3.50;;;;;;;;;
Burgos CF;Álex Lizancos;Defensa;7;630.000;2;1;1;3.50;;;;;;;;;
Cádiz;De la Rosa;Delantero;4;630.000;2;1;1;2.00;;;;;;;;;
Cultural Leonesa;Víctor García;Defensa;5;620.000;2;1;1;2.50;;;;;;;;;
Cultural Leonesa;Diego Collado;Delantero;9;610.000;2;1;1;4.50;;;;;;;;;
Cádiz;Escalante;Centrocampista;0;610.000;0;0;0;0.00;;;;;;;;;
Mirandes;Fernando Medrano;Defensa;7;600.000;2;1;1;3.50;;;;;;;;;
Cultural Leonesa;Matia Barzic;Defensa;5;600.000;1;1;0;5.00;;;;;;;;;
Mirandes;Iker Varela;Delantero;2;590.000;2;1;1;1.00;;;;;;;;;
Huesca;Álvaro Carrillo;Defensa;6;570.000;2;1;1;3.00;;;;;;;;;
Las Palmas;Edward Cedeño;Centrocampista;6;570.000;2;1;1;3.00;;;;;;;;;
Cultural Leonesa;Quique Fornos;Defensa;1;560.000;2;1;1;0.50;;;;;;;;;
Leganés;Figueredo;Defensa;0;560.000;0;0;0;0.00;;;;;;;;;
Albacete;Pepe Sanchez;Defensa;0;560.000;0;0;0;0.00;;;;;;;;;
Cultural Leonesa;Selu Diallo;Centrocampista;-7;560.000;1;0;1;-7.00;;;;;;;;;
CD Castellon;Tincho Conde;Defensa;2;550.000;1;0;1;2.00;;;;;;;;;
Sporting;Jordy Caicedo;Delantero;1;550.000;1;1;0;1.00;;;;;;;;;
Cultural Leonesa;Eneko Satrústegui;Defensa;-1;550.000;1;0;1;-1.00;;;;;;;;;
CD Castellon;Nick Markanich;Delantero;4;540.000;2;1;1;2.00;;;;;;;;;
Eibar;Xeber Alkain;Delantero;3;540.000;1;0;1;3.00;;;;;;;;;
Ceuta;Manu Vallejo;Delantero;2;540.000;2;1;1;1.00;;;;;;;;;
Cádiz;Luis Hernández;Defensa;0;540.000;0;0;0;0.00;;;;;;;;;
Córdoba;Álex Martín;Defensa;6;530.000;2;1;1;3.00;;;;;;;;;
Cádiz;Fali;Defensa;0;530.000;0;0;0;0.00;;;;;;;;;
Deportivo;Mohamed Bouldini;Delantero;5;520.000;2;1;1;2.50;;;;;;;;;
Real Sociedad B;Astiazaran;Centrocampista;4;520.000;2;1;1;2.00;;;;;;;;;
Granada;Pedro Alemañ;Centrocampista;1;520.000;1;0;1;1.00;;;;;;;;;
Ceuta;Rubén Díez;Centrocampista;0;520.000;0;0;0;0.00;;;;;;;;;
Ceuta;Yago Cantero;Defensa;-2;520.000;1;0;1;-2.00;;;;;;;;;
Málaga;Aarón Ochoa;Centrocampista;3;510.000;1;1;0;3.00;;;;;;;;;
Sporting;Dani Queipo;Delantero;1;510.000;1;1;0;1.00;;;;;;;;;
CD Castellon;Óscar Gil;Defensa;1;500.000;1;1;0;1.00;;;;;;;;;
Córdoba;Diego Bri;Delantero;0;500.000;0;0;0;0.00;;;;;;;;;
Córdoba;Adrián Fuentes;Delantero;9;490.000;1;1;0;9.00;;;;;;;;;
Granada;Souleymane Faye;Delantero;4;490.000;1;0;1;4.00;;;;;;;;;
Almería;Selvi Clua;Centrocampista;5;480.000;2;1;1;2.50;;;;;;;;;
Ceuta;Kialy Kone;Delantero;1;480.000;1;0;1;1.00;;;;;;;;;
Málaga;Jokin Gabilondo;Defensa;0;480.000;0;0;0;0.00;;;;;;;;;
Mirandes;Pablo Pérez;Defensa;0;480.000;0;0;0;0.00;;;;;;;;;
Granada;Sergio Rodelas;Delantero;2;460.000;1;1;0;2.00;;;;;;;;;
Leganés;Carlos Guirao;Centrocampista;2;460.000;1;1;0;2.00;;;;;;;;;
Córdoba;Adilson;Delantero;0;460.000;0;0;0;0.00;;;;;;;;;
Cultural Leonesa;Rodri Suárez;Defensa;9;450.000;2;1;1;4.50;;;;;;;;;
Eibar;Toni Villa;Centrocampista;0;440.000;0;0;0;0.00;;;;;;;;;
Real Valladolid;Trilli;Defensa;6;420.000;2;1;1;3.00;;;;;;;;;
Mirandes;Salim El Jebari;Delantero;0;420.000;0;0;0;0.00;;;;;;;;;
CD Castellon;Ronaldo;Centrocampista;0;420.000;0;0;0;0.00;;;;;;;;;
CD Castellon;Lucas Alcázar;Defensa;0;410.000;0;0;0;0.00;;;;;;;;;
Albacete;José Lazo;Delantero;5;400.000;2;1;1;2.50;;;;;;;;;
Ceuta;Diego González;Defensa;2;400.000;1;1;0;2.00;;;;;;;;;
Sporting;Kevin Vázquez;Defensa;2;400.000;1;1;0;2.00;;;;;;;;;
Zaragoza;Sebastian Kosa;Defensa;0;400.000;0;0;0;0.00;;;;;;;;;
Málaga;Diego Murillo;Defensa;2;390.000;1;1;0;2.00;;;;;;;;;
Deportivo;Denis Genreau;Centrocampista;0;390.000;0;0;0;0.00;;;;;;;;;
FC Andorra;Nico Ratti;Portero;0;390.000;0;0;0;0.00;;;;;;;;;
Eibar;Ander Madariaga;Centrocampista;0;390.000;0;0;0;0.00;;;;;;;;;
CD Castellon;Aurélio;Delantero;0;390.000;0;0;0;0.00;;;;;;;;;
Burgos CF;Marcelo Expósito;Centrocampista;0;390.000;0;0;0;0.00;;;;;;;;;
Ceuta;Manu Sánchez;Defensa;0;380.000;0;0;0;0.00;;;;;;;;;
Cultural Leonesa;Pastoriza;Delantero;5;370.000;2;1;1;2.50;;;;;;;;;
Sporting;Joel Sanchez;Portero;0;370.000;0;0;0;0.00;;;;;;;;;
FC Andorra;Álex Calvo;Delantero;0;370.000;0;0;0;0.00;;;;;;;;;
Huesca;Ángel Pérez;Defensa;0;370.000;0;0;0;0.00;;;;;;;;;
CD Castellon;Serpeta;Delantero;6;360.000;2;1;1;3.00;;;;;;;;;
Racing;Jeremy Arévalo;Delantero;5;360.000;2;1;1;2.50;;;;;;;;;
Ceuta;Bassinga;Centrocampista;5;360.000;2;1;1;2.50;;;;;;;;;
Sporting;Amadou Coundoul;Delantero;3;360.000;1;0;1;3.00;;;;;;;;;
FC Andorra;Diego Alende;Defensa;0;360.000;0;0;0;0.00;;;;;;;;;
Racing;Suleiman Camara;Delantero;0;360.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Sydney Osazuwa;Delantero;0;360.000;0;0;0;0.00;;;;;;;;;
Real Valladolid;Adrián Arnu;Delantero;0;360.000;0;0;0;0.00;;;;;;;;;
CD Castellon;Flakus Bosilj;Delantero;0;360.000;0;0;0;0.00;;;;;;;;;
Granada;Diego Hormigo;Defensa;-1;360.000;1;0;1;-1.00;;;;;;;;;
Real Sociedad B;Ekain Orobengoa;Delantero;6;350.000;2;1;1;3.00;;;;;;;;;
Deportivo;Cristian Herrera;Delantero;2;350.000;1;0;1;2.00;;;;;;;;;
FC Andorra;Olabarrieta;Delantero;6;340.000;2;0;2;3.00;;;;;;;;;
Burgos CF;Ander Martín;Delantero;0;340.000;0;0;0;0.00;;;;;;;;;
Deportivo;Rubén López;Centrocampista;0;340.000;0;0;0;0.00;;;;;;;;;
Ceuta;Aisar Ahmed;Centrocampista;2;330.000;1;1;0;2.00;;;;;;;;;
Almería;Baba;Centrocampista;0;330.000;0;0;0;0.00;;;;;;;;;
Huesca;Javier Mier;Centrocampista;0;330.000;0;0;0;0.00;;;;;;;;;
FC Andorra;Josep Cerdà;Delantero;0;330.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Unax Agote;Defensa;6;320.000;2;1;1;3.00;;;;;;;;;
Real Valladolid;Xavi Moreno;Delantero;5;320.000;2;1;1;2.50;;;;;;;;;
Huesca;Enol Rodríguez;Delantero;3;320.000;1;0;1;3.00;;;;;;;;;
Huesca;Juan Pérez;Portero;0;320.000;0;0;0;0.00;;;;;;;;;
Cultural Leonesa;Sergi Maestre;Centrocampista;0;320.000;0;0;0;0.00;;;;;;;;;
Zaragoza;Sinan Bakis;Delantero;0;320.000;0;0;0;0.00;;;;;;;;;
Sporting;Jesús Bernal;Centrocampista;0;320.000;0;0;0;0.00;;;;;;;;;
Cultural Leonesa;Miguel Bañuz;Portero;0;320.000;0;0;0;0.00;;;;;;;;;
Almería;Gui Guedes;Centrocampista;4;310.000;1;0;1;4.00;;;;;;;;;
Las Palmas;Sory Kaba;Delantero;0;300.000;0;0;0;0.00;;;;;;;;;
Cultural Leonesa;Roger Hinojo;Defensa;0;300.000;0;0;0;0.00;;;;;;;;;
Málaga;Juan Pedro;Centrocampista;3;290.000;1;1;0;3.00;;;;;;;;;
Huesca;Hugo Pérez;Defensa;0;290.000;0;0;0;0.00;;;;;;;;;
FC Andorra;Álvaro Martín;Delantero;0;290.000;0;0;0;0.00;;;;;;;;;
Real Valladolid;Álvaro Aceves;Portero;0;290.000;0;0;0;0.00;;;;;;;;;
Burgos CF;Mario Cantero;Centrocampista;0;290.000;1;1;0;0.00;;;;;;;;;
Granada;Ander Astralaga;Portero;0;290.000;0;0;0;0.00;;;;;;;;;
Cádiz;Alfred Caicedo;Defensa;5;280.000;1;0;1;5.00;;;;;;;;;
FC Andorra;Aitor Uzkudun;Delantero;5;280.000;2;0;2;2.50;;;;;;;;;
Albacete;Lorenzo Aguado;Defensa;4;280.000;2;1;1;2.00;;;;;;;;;
Albacete;Javi Moreno;Defensa;3;280.000;1;1;0;3.00;;;;;;;;;
Leganés;Rubén Pulido;Defensa;0;280.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Eceizabarrena;Centrocampista;3;270.000;1;1;0;3.00;;;;;;;;;
Granada;Pau Casadesús;Defensa;0;270.000;1;0;1;0.00;;;;;;;;;
Mirandes;Rafel Bauza;Centrocampista;0;270.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Dani Díaz;Delantero;3;260.000;1;0;1;3.00;;;;;;;;;
FC Andorra;Erik Morán;Centrocampista;0;260.000;0;0;0;0.00;;;;;;;;;
Málaga;Carlos López;Portero;0;260.000;0;0;0;0.00;;;;;;;;;
Cultural Leonesa;Guzmán Ortega;Defensa;2;250.000;1;0;1;2.00;;;;;;;;;
Burgos CF;Saúl del Cerro;Centrocampista;0;250.000;0;0;0;0.00;;;;;;;;;
Huesca;Jordi Martín;Defensa;0;250.000;0;0;0;0.00;;;;;;;;;
Burgos CF;Brais Martínez;Defensa;0;240.000;0;0;0;0.00;;;;;;;;;
Cádiz;Joaquín González;Centrocampista;0;240.000;0;0;0;0.00;;;;;;;;;
Ceuta;Ugiagbe;Delantero;8;230.000;2;1;1;4.00;;;;;;;;;
Real Valladolid;Ibrahim Alani;Centrocampista;3;230.000;1;0;1;3.00;;;;;;;;;
Real Sociedad B;Gorka Carrera;Delantero;3;230.000;2;1;1;1.50;;;;;;;;;
Real Valladolid;Mario Maroto;Centrocampista;1;230.000;1;0;1;1.00;;;;;;;;;
Huesca;Manu Rico;Delantero;0;230.000;1;0;1;0.00;;;;;;;;;
Real Sociedad B;Darío Ramírez;Delantero;0;230.000;0;0;0;0.00;;;;;;;;;
Mirandes;Iker Córdoba;Defensa;-7;230.000;1;0;1;-7.00;;;;;;;;;
Huesca;Diego Aznar;Delantero;3;220.000;1;1;0;3.00;;;;;;;;;
FC Andorra;Martí Vilà;Defensa;0;220.000;0;0;0;0.00;;;;;;;;;
Almería;Marciano Sanca;Delantero;0;220.000;0;0;0;0.00;;;;;;;;;
Eibar;Luis López;Portero;0;210.000;0;0;0;0.00;;;;;;;;;
Deportivo;Eric Puerto;Portero;0;210.000;0;0;0;0.00;;;;;;;;;
Huesca;Dani Martín;Portero;0;210.000;0;0;0;0.00;;;;;;;;;
Deportivo;Diego Gómez;Delantero;0;210.000;0;0;0;0.00;;;;;;;;;
Burgos CF;Nikola Milicic;Defensa;0;210.000;0;0;0;0.00;;;;;;;;;
Ceuta;Albert Caparrós;Defensa;0;210.000;0;0;0;0.00;;;;;;;;;
Almería;Stefan Dzodic;Centrocampista;0;210.000;1;0;1;0.00;;;;;;;;;
Real Sociedad B;Kazunari Kita;Defensa;3;200.000;1;1;0;3.00;;;;;;;;;
Málaga;Moussa Diarra;Defensa;0;200.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Egoitz Arana;Portero;0;200.000;0;0;0;0.00;;;;;;;;;
Las Palmas;Adam Arvelo;Delantero;0;200.000;0;0;0;0.00;;;;;;;;;
Cádiz;Isaac Obeng;Delantero;0;190.000;1;1;0;0.00;;;;;;;;;
Real Valladolid;Jorge Delgado;Delantero;0;180.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Alex Marchal;Delantero;0;180.000;0;0;0;0.00;;;;;;;;;
Las Palmas;Adri Suárez;Portero;0;180.000;0;0;0;0.00;;;;;;;;;
Cádiz;David García;Centrocampista;0;180.000;0;0;0;0.00;;;;;;;;;
Huesca;Ro Abajas;Defensa;0;180.000;1;0;1;0.00;;;;;;;;;
Cultural Leonesa;Arnau Rafús;Portero;0;180.000;0;0;0;0.00;;;;;;;;;
Burgos CF;Gabriel Barès;Centrocampista;0;170.000;0;0;0;0.00;;;;;;;;;
Leganés;Andrés Campos;Delantero;0;170.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Ekain Díaz;Defensa;0;170.000;0;0;0;0.00;;;;;;;;;
Cultural Leonesa;Nico Toca;Centrocampista;2;160.000;1;1;0;2.00;;;;;;;;;
Málaga;Ramón Enríquez;Centrocampista;0;160.000;0;0;0;0.00;;;;;;;;;
Real Sociedad B;Astigarraga;Defensa;0;160.000;0;0;0;0.00;;;;;;;;;
Real Valladolid;Iván Garriel;Defensa;2;150.000;2;1;1;1.00;;;;;;;;;
Sporting;Pierre Mbemba;Defensa;2;150.000;1;0;1;2.00;;;;;;;;;
Leganés;Miguel San Román;Portero;0;150.000;0;0;0;0.00;;;;;;;;;
Sporting;Álex Oyón;Delantero;0;150.000;0;0;0;0.00;;;;;;;;;
Málaga;Haitam Abaida;Delantero;0;150.000;0;0;0;0.00;;;;;;;;;
CD Castellon;Mamadou Traoré;Delantero;0;150.000;0;0;0;0.00;;;;;;;;;
Cádiz;Francisco Mwepu;Delantero;0;150.000;0;0;0;0.00;;;;;;;;;
Cádiz;Jorge Moreno;Defensa;0;150.000;0;0;0;0.00;;;;;;;;;
Sporting;Yann Kembo;Defensa;0;150.000;0;0;0;0.00;;;;;;;;;
