Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media
Racing;Plamen Andreev;Portero;0;2640000;0;0;0;0.00
Eibar;Lander Olaetxea;Centrocampista;0;2480000;0;0;0;0.00
Las Palmas;Viti;Centrocampista;0;2380000;0;0;0;0.00
Las Palmas;Jesé;Delantero;0;2270000;0;0;0;0.00
Leganés;Enric Franquesa;Defensa;0;2010000;0;0;0;0.00
Deportivo;Lucas Noubi;Defensa;0;1880000;0;0;0;0.00
Burgos CF;Víctor Mollejo;Delantero;0;1830000;0;0;0;0.00
Real Valladolid;Selim Amallah;Centrocampista;0;1800000;0;0;0;0.00
Almería;Lucas Robertone;Centrocampista;0;1790000;0;0;0;0.00
Racing;Maguette Gueye;Centrocampista;0;1750000;0;0;0;0.00
Las Palmas;Juanma Herzog;Defensa;0;1740000;0;0;0;0.00
Real Valladolid;Javi Sánchez;Defensa;0;1730000;0;0;0;0.00
Zaragoza;Tachi;Defensa;0;1660000;0;0;0;0.00
Granada;Loic Williams;Defensa;0;1600000;2;1;1;0.00
Almería;Nélson Monte;Defensa;0;1560000;0;0;0;0.00
CD Castellon;Romain Matthys;Portero;0;1520000;0;0;0;0.00
FC Andorra;Jesús Owono;Portero;0;1500000;0;0;0;0.00
Cádiz;Alcaraz;Centrocampista;0;1460000;0;0;0;0.00
Burgos CF;Mario González;Delantero;0;1400000;0;0;0;0.00
Córdoba;Dalisson;Delantero;0;1370000;0;0;0;0.00
Racing;Pablo Ramón;Defensa;0;1340000;0;0;0;0.00
Cádiz;David Gil;Portero;0;1330000;0;0;0;0.00
Almería;Fernando Martinez;Portero;0;1320000;0;0;0;0.00
Deportivo;José Ángel Jurado;Centrocampista;0;1310000;0;0;0;0.00
Albacete;Raúl Lizoain;Portero;0;1280000;0;0;0;0.00
Las Palmas;José Antonio Caro;Portero;0;1230000;0;0;0;0.00
Huesca;Daniel Luna;Centrocampista;0;1210000;0;0;0;0.00
Almería;Luís Maximiano;Portero;0;1140000;0;0;0;0.00
Las Palmas;Mata;Delantero;0;1130000;0;0;0;0.00
Almería;Ibrahima Koné;Delantero;0;1090000;0;0;0;0.00
Albacete;Higinio;Delantero;0;1070000;0;0;0;0.00
Córdoba;Iker Álvarez;Portero;0;1070000;0;0;0;0.00
Córdoba;Xavi Sintes;Defensa;0;1040000;0;0;0;0.00
Real Sociedad B;Iñaki Rupérez;Defensa;0;1000000;0;0;0;0.00
Burgos CF;Sergio Gonzalez;Defensa;0;990000;0;0;0;0.00
Zaragoza;Radovanovic;Defensa;0;990000;2;1;1;0.00
Ceuta;Marcos Fernández;Delantero;0;910000;0;0;0;0.00
Málaga;Jauregi;Delantero;0;900000;0;0;0;0.00
Eibar;Jair;Defensa;0;800000;0;0;0;0.00
Zaragoza;Keidi Bare;Centrocampista;0;770000;0;0;0;0.00
Cádiz;Rubén Sobrino;Delantero;0;760000;0;0;0;0.00
Málaga;Einar Galilea;Defensa;0;740000;0;0;0;0.00
FC Andorra;Yaakobishvili;Defensa;0;700000;0;0;0;0.00
Real Valladolid;Jaouab;Defensa;0;700000;0;0;0;0.00
Mirandes;Sergio Postigo;Defensa;0;680000;0;0;0;0.00
CD Castellon;Michal Willmann;Defensa;0;640000;0;0;0;0.00
Cádiz;Escalante;Centrocampista;0;590000;0;0;0;0.00
Leganés;Figueredo;Defensa;0;550000;0;0;0;0.00
Albacete;Pepe Sanchez;Defensa;0;530000;0;0;0;0.00
Cádiz;Luis Hernández;Defensa;0;520000;0;0;0;0.00
Cádiz;Fali;Defensa;0;520000;0;0;0;0.00
Ceuta;Rubén Díez;Centrocampista;0;500000;0;0;0;0.00
Córdoba;Diego Bri;Delantero;0;480000;0;0;0;0.00
Málaga;Jokin Gabilondo;Defensa;0;460000;0;0;0;0.00
Mirandes;Pablo Pérez;Defensa;0;460000;0;0;0;0.00
Córdoba;Adilson;Delantero;0;440000;0;0;0;0.00
Mirandes;Salim El Jebari;Delantero;0;440000;0;0;0;0.00
Eibar;Toni Villa;Centrocampista;0;430000;0;0;0;0.00
Zaragoza;Sebastian Kosa;Defensa;0;400000;0;0;0;0.00
CD Castellon;Ronaldo;Centrocampista;0;400000;0;0;0;0.00
CD Castellon;Lucas Alcázar;Defensa;0;400000;0;0;0;0.00
Eibar;Ander Madariaga;Centrocampista;0;390000;0;0;0;0.00
CD Castellon;Aurélio;Delantero;0;380000;0;0;0;0.00
FC Andorra;Nico Ratti;Portero;0;370000;0;0;0;0.00
Ceuta;Manu Sánchez;Defensa;0;370000;0;0;0;0.00
Burgos CF;Marcelo Expósito;Centrocampista;0;370000;0;0;0;0.00
Huesca;Ángel Pérez;Defensa;0;370000;0;0;0;0.00
Sporting;Joel Sanchez;Portero;0;360000;0;0;0;0.00
FC Andorra;Álex Calvo;Delantero;0;360000;0;0;0;0.00
Málaga;Josué Dorrio;Delantero;0;360000;0;0;0;0.00
FC Andorra;Diego Alende;Defensa;0;350000;0;0;0;0.00
Racing;Suleiman Camara;Delantero;0;350000;0;0;0;0.00
Real Sociedad B;Sydney Osazuwa;Delantero;0;350000;0;0;0;0.00
Real Valladolid;Adrián Arnu;Delantero;0;340000;0;0;0;0.00
CD Castellon;Flakus Bosilj;Delantero;0;340000;0;0;0;0.00
Burgos CF;Ander Martín;Delantero;0;330000;0;0;0;0.00
Huesca;Javier Mier;Centrocampista;0;330000;0;0;0;0.00
Deportivo;Rubén López;Centrocampista;0;330000;0;0;0;0.00
Huesca;Juan Pérez;Portero;0;320000;0;0;0;0.00
Almería;Baba;Centrocampista;0;320000;0;0;0;0.00
Sporting;Jesús Bernal;Centrocampista;0;320000;0;0;0;0.00
FC Andorra;Josep Cerdà;Delantero;0;320000;0;0;0;0.00
Cultural Leonesa;Sergi Maestre;Centrocampista;0;310000;0;0;0;0.00
Zaragoza;Sinan Bakis;Delantero;0;300000;0;0;0;0.00
Cultural Leonesa;Miguel Bañuz;Portero;0;300000;0;0;0;0.00
Las Palmas;Sory Kaba;Delantero;0;290000;0;0;0;0.00
Real Valladolid;Álvaro Aceves;Portero;0;290000;0;0;0;0.00
Leganés;Rubén Pulido;Defensa;0;280000;0;0;0;0.00
Huesca;Hugo Pérez;Defensa;0;280000;0;0;0;0.00
FC Andorra;Álvaro Martín;Delantero;0;280000;0;0;0;0.00
Granada;Ander Astralaga;Portero;0;280000;0;0;0;0.00
Granada;Pau Casadesús;Defensa;0;270000;1;0;1;0.00
Burgos CF;Mario Cantero;Centrocampista;0;270000;1;1;0;0.00
FC Andorra;Erik Morán;Centrocampista;0;260000;0;0;0;0.00
Burgos CF;Saúl del Cerro;Centrocampista;0;250000;0;0;0;0.00
Málaga;Carlos López;Portero;0;250000;0;0;0;0.00
Huesca;Jordi Martín;Defensa;0;250000;0;0;0;0.00
Mirandes;Rafel Bauza;Centrocampista;0;240000;0;0;0;0.00
Huesca;Albarracín;Centrocampista;0;240000;0;0;0;0.00
Real Sociedad B;Darío Ramírez;Delantero;0;230000;0;0;0;0.00
Cádiz;Joaquín González;Centrocampista;0;230000;0;0;0;0.00
Huesca;Manu Rico;Delantero;0;220000;1;0;1;0.00
FC Andorra;Martí Vilà;Defensa;0;220000;0;0;0;0.00
Burgos CF;Brais Martínez;Defensa;0;220000;0;0;0;0.00
Eibar;Luis López;Portero;0;210000;0;0;0;0.00
Deportivo;Eric Puerto;Portero;0;210000;0;0;0;0.00
Deportivo;Diego Gómez;Delantero;0;210000;0;0;0;0.00
Almería;Stefan Dzodic;Centrocampista;0;210000;1;0;1;0.00
Málaga;Moussa Diarra;Defensa;0;200000;0;0;0;0.00
Huesca;Dani Martín;Portero;0;200000;0;0;0;0.00
Burgos CF;Nikola Milicic;Defensa;0;200000;0;0;0;0.00
Real Sociedad B;Egoitz Arana;Portero;0;200000;0;0;0;0.00
Las Palmas;Adam Arvelo;Delantero;0;200000;0;0;0;0.00
Ceuta;Albert Caparrós;Defensa;0;190000;0;0;0;0.00
Real Valladolid;Jorge Delgado;Delantero;0;180000;0;0;0;0.00
Las Palmas;Adri Suárez;Portero;0;180000;0;0;0;0.00
Cádiz;Isaac Obeng;Delantero;0;180000;1;1;0;0.00
Cádiz;David García;Centrocampista;0;180000;0;0;0;0.00
Huesca;Ro Abajas;Defensa;0;180000;1;0;1;0.00
Cultural Leonesa;Arnau Rafús;Portero;0;180000;0;0;0;0.00
Leganés;Andrés Campos;Delantero;0;170000;0;0;0;0.00
Real Sociedad B;Ekain Díaz;Defensa;0;170000;0;0;0;0.00
Málaga;Ramón Enríquez;Centrocampista;0;160000;0;0;0;0.00
Real Sociedad B;Astigarraga;Defensa;0;160000;0;0;0;0.00
Leganés;Miguel San Román;Portero;0;150000;0;0;0;0.00
Sporting;Álex Oyón;Delantero;0;150000;0;0;0;0.00
Málaga;Haitam Abaida;Delantero;0;150000;0;0;0;0.00
CD Castellon;Mamadou Traoré;Delantero;0;150000;0;0;0;0.00
Cádiz;Francisco Mwepu;Delantero;0;150000;0;0;0;0.00
Cádiz;Jorge Moreno;Defensa;0;150000;0;0;0;0.00
Sporting;Yann Kembo;Defensa;0;150000;0;0;0;0.00
Zaragoza;Pomares;Defensa;-1;1790000;2;1;1;-0.50
Zaragoza;Pablo Insua;Defensa;-1;1030000;1;1;0;-1.00
Ceuta;Redruello;Defensa;-1;870000;1;0;1;-1.00
Cultural Leonesa;Eneko Satrústegui;Defensa;-1;530000;1;0;1;-1.00
Granada;Diego Hormigo;Defensa;-1;340000;1;0;1;-1.00
Ceuta;Yago Cantero;Defensa;-2;490000;1;0;1;-2.00
Granada;Manu Lama;Defensa;-4;1330000;1;1;0;-4.00
CD Castellon;Alberto Jiménez;Defensa;-5;2830000;1;0;1;-5.00
Cultural Leonesa;Selu Diallo;Centrocampista;-5;550000;2;0;2;-2.50
Mirandes;Iker Córdoba;Defensa;-7;230000;1;0;1;-7.00
